DS,rep,clf,optimal,biased,method,augmented_acc,added_points
Wholesale,4,DT,0.5,0.48863636363636365,Imitate,0.5227272727272727,162
Wholesale,4,DT,0.5,0.48863636363636365,Mimic (ours),0.5454545454545454,33
Wholesale,4,SVM,0.7045454545454546,0.7045454545454546,GMM,0.7045454545454546,0
Wholesale,4,SVM,0.7045454545454546,0.7045454545454546,Imitate,0.7045454545454546,162
Wholesale,4,SVM,0.7045454545454546,0.7045454545454546,Mimic (ours),0.7045454545454546,33
Wholesale,4,RF,0.6931818181818182,0.6704545454545454,GMM,0.6818181818181818,0
Wholesale,4,RF,0.6931818181818182,0.6704545454545454,Imitate,0.6818181818181818,162
Wholesale,4,RF,0.6931818181818182,0.6704545454545454,Mimic (ours),0.7045454545454546,33
Wholesale,5,DT,0.5227272727272727,0.5,GMM,0.4659090909090909,0
Wholesale,5,DT,0.5227272727272727,0.5,Imitate,0.5454545454545454,133
Wholesale,5,DT,0.5227272727272727,0.5,Mimic (ours),0.5340909090909091,13
Wholesale,5,SVM,0.6818181818181818,0.6818181818181818,GMM,0.6818181818181818,0
Wholesale,5,SVM,0.6818181818181818,0.6818181818181818,Imitate,0.6818181818181818,133
Wholesale,5,SVM,0.6818181818181818,0.6818181818181818,Mimic (ours),0.6818181818181818,13
Wholesale,5,RF,0.6818181818181818,0.6363636363636364,GMM,0.6136363636363636,0
Wholesale,5,RF,0.6818181818181818,0.6363636363636364,Imitate,0.6704545454545454,133
Wholesale,5,RF,0.6818181818181818,0.6363636363636364,Mimic (ours),0.6477272727272727,13
Wholesale,6,DT,0.4431818181818182,0.38636363636363635,GMM,0.4318181818181818,0
Wholesale,6,DT,0.4431818181818182,0.38636363636363635,Imitate,0.5681818181818182,180
Wholesale,6,DT,0.4431818181818182,0.38636363636363635,Mimic (ours),0.5113636363636364,35
Wholesale,6,SVM,0.6704545454545454,0.6704545454545454,GMM,0.6704545454545454,0
Wholesale,6,SVM,0.6704545454545454,0.6704545454545454,Imitate,0.6704545454545454,180
Wholesale,6,SVM,0.6704545454545454,0.6704545454545454,Mimic (ours),0.6704545454545454,35
Wholesale,6,RF,0.6704545454545454,0.6022727272727273,GMM,0.6477272727272727,0
Wholesale,6,RF,0.6704545454545454,0.6022727272727273,Imitate,0.6704545454545454,180
Wholesale,6,RF,0.6704545454545454,0.6022727272727273,Mimic (ours),0.6477272727272727,35
Wholesale,0,DT,0.6022727272727273,0.4318181818181818,GMM,0.4318181818181818,0
Wholesale,0,DT,0.6022727272727273,0.4318181818181818,Imitate,0.5113636363636364,129
Wholesale,0,DT,0.6022727272727273,0.4318181818181818,Mimic (ours),0.5113636363636364,39
Wholesale,0,SVM,0.75,0.75,GMM,0.75,0
Wholesale,0,SVM,0.75,0.75,Imitate,0.75,129
Wholesale,0,SVM,0.75,0.75,Mimic (ours),0.75,39
Wholesale,0,RF,0.7272727272727273,0.6477272727272727,GMM,0.625,0
Wholesale,0,RF,0.7272727272727273,0.6477272727272727,Imitate,0.7272727272727273,129
Wholesale,0,RF,0.7272727272727273,0.6477272727272727,Mimic (ours),0.7045454545454546,39
Wholesale,1,DT,0.5113636363636364,0.36363636363636365,GMM,0.36363636363636365,0
