seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
8902,1,2,100,DT,1.0,0.8353333333333334,GMM,0.87,409
8902,1,2,100,DT,1.0,0.8353333333333334,Imitate,0.9966666666666667,370
8902,1,2,100,DT,1.0,0.8353333333333334,Mimic (ours),0.84,244
8902,1,2,100,SVM,1.0,0.9013333333333333,GMM,0.9606666666666667,409
8902,1,2,100,SVM,1.0,0.9013333333333333,Imitate,0.9933333333333333,370
8902,1,2,100,SVM,1.0,0.9013333333333333,Mimic (ours),0.9573333333333334,244
8902,1,2,100,RF,1.0,0.9986666666666667,GMM,1.0,409
8902,1,2,100,RF,1.0,0.9986666666666667,Imitate,1.0,370
8902,1,2,100,RF,1.0,0.9986666666666667,Mimic (ours),0.9986666666666667,244
9130,1,2,100,DT,0.8173333333333334,0.52,GMM,0.518,128
9130,1,2,100,DT,0.8173333333333334,0.52,Imitate,0.7626666666666667,588
9130,1,2,100,DT,0.8173333333333334,0.52,Mimic (ours),0.5366666666666666,270
9130,1,2,100,SVM,0.88,0.63,GMM,0.6306666666666667,128
9130,1,2,100,SVM,0.88,0.63,Imitate,0.75,588
9130,1,2,100,SVM,0.88,0.63,Mimic (ours),0.64,270
9130,1,2,100,RF,0.872,0.5193333333333333,GMM,0.5193333333333333,128
9130,1,2,100,RF,0.872,0.5193333333333333,Imitate,0.764,588
9130,1,2,100,RF,0.872,0.5193333333333333,Mimic (ours),0.5306666666666666,270
1443,1,2,100,DT,0.836,0.6313333333333333,GMM,0.6333333333333333,121
1443,1,2,100,DT,0.836,0.6313333333333333,Imitate,0.7753333333333333,530
1443,1,2,100,DT,0.836,0.6313333333333333,Mimic (ours),0.698,583
1443,1,2,100,SVM,0.9,0.7593333333333333,GMM,0.7566666666666667,121
1443,1,2,100,SVM,0.9,0.7593333333333333,Imitate,0.8413333333333334,530
1443,1,2,100,SVM,0.9,0.7593333333333333,Mimic (ours),0.7926666666666666,583
1443,1,2,100,RF,0.886,0.6446666666666667,GMM,0.654,121
1443,1,2,100,RF,0.886,0.6446666666666667,Imitate,0.796,530
1443,1,2,100,RF,0.886,0.6446666666666667,Mimic (ours),0.7293333333333333,583
4345,1,2,100,DT,0.936,0.8193333333333334,GMM,0.8053333333333333,171
4345,1,2,100,DT,0.936,0.8193333333333334,Imitate,0.9246666666666666,778
4345,1,2,100,DT,0.936,0.8193333333333334,Mimic (ours),0.792,527
4345,1,2,100,SVM,0.96,0.6766666666666666,GMM,0.7593333333333333,171
4345,1,2,100,SVM,0.96,0.6766666666666666,Imitate,0.9233333333333333,778
4345,1,2,100,SVM,0.96,0.6766666666666666,Mimic (ours),0.7906666666666666,527
4345,1,2,100,RF,0.946,0.75,GMM,0.768,171
4345,1,2,100,RF,0.946,0.75,Imitate,0.9273333333333333,778
4345,1,2,100,RF,0.946,0.75,Mimic (ours),0.7806666666666666,527
8249,1,2,100,DT,0.99,0.728,GMM,0.872,243
8249,1,2,100,DT,0.99,0.728,Imitate,0.92,520
8249,1,2,100,DT,0.99,0.728,Mimic (ours),0.7966666666666666,486
8249,1,2,100,SVM,0.992,0.8966666666666666,GMM,0.8726666666666667,243
8249,1,2,100,SVM,0.992,0.8966666666666666,Imitate,0.968,520
8249,1,2,100,SVM,0.992,0.8966666666666666,Mimic (ours),0.902,486
8249,1,2,100,RF,0.992,0.7286666666666667,GMM,0.8,243
8249,1,2,100,RF,0.992,0.7286666666666667,Imitate,0.9566666666666667,520
8249,1,2,100,RF,0.992,0.7286666666666667,Mimic (ours),0.8173333333333334,486
1779,1,2,100,DT,1.0,0.8153333333333334,GMM,0.8293333333333334,172
1779,1,2,100,DT,1.0,0.8153333333333334,Imitate,1.0,892
1779,1,2,100,DT,1.0,0.8153333333333334,Mimic (ours),0.8433333333333334,396
1779,1,2,100,SVM,1.0,0.87,GMM,0.886,172
1779,1,2,100,SVM,1.0,0.87,Imitate,0.9993333333333333,892
1779,1,2,100,SVM,1.0,0.87,Mimic (ours),0.886,396
1779,1,2,100,RF,1.0,0.8166666666666667,GMM,0.83,172
1779,1,2,100,RF,1.0,0.8166666666666667,Imitate,1.0,892
1779,1,2,100,RF,1.0,0.8166666666666667,Mimic (ours),0.8473333333333334,396
1965,1,2,100,DT,0.9826666666666667,0.8326666666666667,GMM,0.8306666666666667,209
1965,1,2,100,DT,0.9826666666666667,0.8326666666666667,Imitate,0.872,480
1965,1,2,100,DT,0.9826666666666667,0.8326666666666667,Mimic (ours),0.8326666666666667,214
1965,1,2,100,SVM,0.99,0.8306666666666667,GMM,0.8393333333333334,209
1965,1,2,100,SVM,0.99,0.8306666666666667,Imitate,0.858,480
1965,1,2,100,SVM,0.99,0.8306666666666667,Mimic (ours),0.832,214
1965,1,2,100,RF,0.9886666666666667,0.8333333333333334,GMM,0.826,209
1965,1,2,100,RF,0.9886666666666667,0.8333333333333334,Imitate,0.8566666666666667,480
1965,1,2,100,RF,0.9886666666666667,0.8333333333333334,Mimic (ours),0.826,214
1467,1,2,100,DT,0.9993333333333333,0.746,GMM,0.9986666666666667,171
1467,1,2,100,DT,0.9993333333333333,0.746,Imitate,0.9966666666666667,553
1467,1,2,100,DT,0.9993333333333333,0.746,Mimic (ours),0.746,480
1467,1,2,100,SVM,0.9953333333333333,0.7993333333333333,GMM,0.882,171
1467,1,2,100,SVM,0.9953333333333333,0.7993333333333333,Imitate,0.99,553
1467,1,2,100,SVM,0.9953333333333333,0.7993333333333333,Mimic (ours),0.812,480
1467,1,2,100,RF,0.9993333333333333,0.7773333333333333,GMM,0.98,171
1467,1,2,100,RF,0.9993333333333333,0.7773333333333333,Imitate,0.9993333333333333,553
1467,1,2,100,RF,0.9993333333333333,0.7773333333333333,Mimic (ours),0.7773333333333333,480
1965,1,2,100,DT,0.9806666666666667,0.8306666666666667,GMM,0.832,225
1965,1,2,100,DT,0.9806666666666667,0.8306666666666667,Imitate,0.8986666666666666,480
1965,1,2,100,DT,0.9806666666666667,0.8306666666666667,Mimic (ours),0.8326666666666667,411
1965,1,2,100,SVM,0.99,0.8306666666666667,GMM,0.8466666666666667,225
1965,1,2,100,SVM,0.99,0.8306666666666667,Imitate,0.8553333333333333,480
1965,1,2,100,SVM,0.99,0.8306666666666667,Mimic (ours),0.8453333333333334,411
1965,1,2,100,RF,0.9893333333333333,0.834,GMM,0.826,225
1965,1,2,100,RF,0.9893333333333333,0.834,Imitate,0.8546666666666667,480
1965,1,2,100,RF,0.9893333333333333,0.834,Mimic (ours),0.826,411
9061,1,2,100,DT,0.976,0.7313333333333333,GMM,0.7306666666666667,202
9061,1,2,100,DT,0.976,0.7313333333333333,Imitate,0.9493333333333334,759
9061,1,2,100,DT,0.976,0.7313333333333333,Mimic (ours),0.7286666666666667,399
9061,1,2,100,SVM,0.9686666666666667,0.7466666666666667,GMM,0.8246666666666667,202
9061,1,2,100,SVM,0.9686666666666667,0.7466666666666667,Imitate,0.9566666666666667,759
9061,1,2,100,SVM,0.9686666666666667,0.7466666666666667,Mimic (ours),0.8066666666666666,399
9061,1,2,100,RF,0.98,0.7333333333333333,GMM,0.7306666666666667,202
9061,1,2,100,RF,0.98,0.7333333333333333,Imitate,0.9593333333333334,759
9061,1,2,100,RF,0.98,0.7333333333333333,Mimic (ours),0.7286666666666667,399
9159,1,2,100,DT,0.7453333333333333,0.592,GMM,0.6626666666666666,263
9159,1,2,100,DT,0.7453333333333333,0.592,Imitate,0.6613333333333333,698
9159,1,2,100,DT,0.7453333333333333,0.592,Mimic (ours),0.6826666666666666,513
9159,1,2,100,SVM,0.8286666666666667,0.626,GMM,0.646,263
9159,1,2,100,SVM,0.8286666666666667,0.626,Imitate,0.7013333333333334,698
9159,1,2,100,SVM,0.8286666666666667,0.626,Mimic (ours),0.694,513
9159,1,2,100,RF,0.806,0.6326666666666667,GMM,0.652,263
9159,1,2,100,RF,0.806,0.6326666666666667,Imitate,0.678,698
9159,1,2,100,RF,0.806,0.6326666666666667,Mimic (ours),0.6866666666666666,513
8185,1,2,100,DT,0.8813333333333333,0.7306666666666667,GMM,0.7286666666666667,168
8185,1,2,100,DT,0.8813333333333333,0.7306666666666667,Imitate,0.844,537
8185,1,2,100,DT,0.8813333333333333,0.7306666666666667,Mimic (ours),0.7286666666666667,213
8185,1,2,100,SVM,0.8866666666666667,0.7273333333333334,GMM,0.73,168
8185,1,2,100,SVM,0.8866666666666667,0.7273333333333334,Imitate,0.818,537
8185,1,2,100,SVM,0.8866666666666667,0.7273333333333334,Mimic (ours),0.7286666666666667,213
8185,1,2,100,RF,0.9066666666666666,0.732,GMM,0.7333333333333333,168
8185,1,2,100,RF,0.9066666666666666,0.732,Imitate,0.832,537
8185,1,2,100,RF,0.9066666666666666,0.732,Mimic (ours),0.7386666666666667,213
8184,1,2,100,DT,0.9533333333333334,0.6826666666666666,GMM,0.7573333333333333,360
8184,1,2,100,DT,0.9533333333333334,0.6826666666666666,Imitate,0.956,705
8184,1,2,100,DT,0.9533333333333334,0.6826666666666666,Mimic (ours),0.7086666666666667,395
8184,1,2,100,SVM,0.9386666666666666,0.76,GMM,0.8093333333333333,360
8184,1,2,100,SVM,0.9386666666666666,0.76,Imitate,0.9166666666666666,705
8184,1,2,100,SVM,0.9386666666666666,0.76,Mimic (ours),0.764,395
8184,1,2,100,RF,0.9613333333333334,0.6946666666666667,GMM,0.8,360
8184,1,2,100,RF,0.9613333333333334,0.6946666666666667,Imitate,0.962,705
8184,1,2,100,RF,0.9613333333333334,0.6946666666666667,Mimic (ours),0.732,395
8184,1,2,100,DT,0.95,0.6786666666666666,GMM,0.7666666666666667,320
8184,1,2,100,DT,0.95,0.6786666666666666,Imitate,0.9533333333333334,742
8184,1,2,100,DT,0.95,0.6786666666666666,Mimic (ours),0.6946666666666667,282
