seed,num_clusters,num_dims,spread,clf,optimal,biased,method,augmented_acc,added_points
5734,1,2,10,DT,0.6733333333333333,0.52,GMM,0.5173333333333333,292
5734,1,2,10,DT,0.6733333333333333,0.52,Imitate,0.6733333333333333,763
5734,1,2,10,DT,0.6733333333333333,0.52,Mimic (ours),0.504,406
5734,1,2,10,SVM,0.7453333333333333,0.5246666666666666,GMM,0.5206666666666667,292
5734,1,2,10,SVM,0.7453333333333333,0.5246666666666666,Imitate,0.6486666666666666,763
5734,1,2,10,SVM,0.7453333333333333,0.5246666666666666,Mimic (ours),0.5126666666666667,406
5734,1,2,10,RF,0.71,0.5193333333333333,GMM,0.518,292
5734,1,2,10,RF,0.71,0.5193333333333333,Imitate,0.6633333333333333,763
5734,1,2,10,RF,0.71,0.5193333333333333,Mimic (ours),0.5053333333333333,406
8489,1,2,10,DT,0.9793333333333333,0.9046666666666666,GMM,0.912,310
8489,1,2,10,DT,0.9793333333333333,0.9046666666666666,Imitate,0.9593333333333334,217
8489,1,2,10,DT,0.9793333333333333,0.9046666666666666,Mimic (ours),0.9453333333333334,625
8489,1,2,10,SVM,0.9813333333333333,0.8766666666666667,GMM,0.918,310
8489,1,2,10,SVM,0.9813333333333333,0.8766666666666667,Imitate,0.9393333333333334,217
8489,1,2,10,SVM,0.9813333333333333,0.8766666666666667,Mimic (ours),0.9606666666666667,625
8489,1,2,10,RF,0.9806666666666667,0.894,GMM,0.9186666666666666,310
8489,1,2,10,RF,0.9806666666666667,0.894,Imitate,0.954,217
8489,1,2,10,RF,0.9806666666666667,0.894,Mimic (ours),0.9573333333333334,625
9722,1,2,10,DT,0.9953333333333333,0.7546666666666667,GMM,0.766,166
9722,1,2,10,DT,0.9953333333333333,0.7546666666666667,Imitate,0.998,970
9722,1,2,10,DT,0.9953333333333333,0.7546666666666667,Mimic (ours),0.7766666666666666,326
9722,1,2,10,SVM,0.9093333333333333,0.6126666666666667,GMM,0.622,166
9722,1,2,10,SVM,0.9093333333333333,0.6126666666666667,Imitate,0.892,970
9722,1,2,10,SVM,0.9093333333333333,0.6126666666666667,Mimic (ours),0.7053333333333334,326
