num_clusters,seed,biased,withPurge,num_aug
2,9602,False,False,186
2,9602,False,True,0
2,9602,True,False,850
2,9602,True,True,367
2,4548,False,False,372
2,4548,False,True,26
2,4548,True,False,347
2,4548,True,True,127
2,9189,False,False,808
2,9189,False,True,138
2,9189,True,False,494
2,9189,True,True,209
2,8422,False,False,250
2,8422,False,True,0
2,8422,True,False,905
2,8422,True,True,512
2,6930,False,False,436
2,6930,False,True,36
2,6930,True,False,867
2,6930,True,True,509
2,7850,False,False,646
2,7850,False,True,36
2,7850,True,False,869
2,7850,True,True,475
2,4330,False,False,397
2,4330,False,True,8
2,4330,True,False,1023
2,4330,True,True,585
2,3137,False,False,392
2,3137,False,True,4
2,3137,True,False,570
2,3137,True,True,198
2,5774,False,False,1042
2,5774,False,True,365
2,5774,True,False,637
2,5774,True,True,291
2,4410,False,False,766
2,4410,False,True,164
2,4410,True,False,718
2,4410,True,True,381
3,2354,False,False,399
3,2354,False,True,14
3,2354,True,False,1039
3,2354,True,True,573
3,3980,False,False,937
3,3980,False,True,222
3,3980,True,False,982
3,3980,True,True,537
3,1845,False,False,554
3,1845,False,True,94
3,1845,True,False,882
3,1845,True,True,414
3,2940,False,False,481
3,2940,False,True,72
3,2940,True,False,832
3,2940,True,True,446
3,9558,False,False,618
3,9558,False,True,16
3,9558,True,False,680
3,9558,True,True,328
3,6562,False,False,674
3,6562,False,True,83
3,6562,True,False,629
3,6562,True,True,364
3,1748,False,False,287
3,1748,False,True,10
3,1748,True,False,960
3,1748,True,True,516
3,1783,False,False,347
3,1783,False,True,50
3,1783,True,False,1030
3,1783,True,True,659
3,7313,False,False,282
3,7313,False,True,0
3,7313,True,False,933
3,7313,True,True,455
3,2744,False,False,463
3,2744,False,True,19
3,2744,True,False,873
3,2744,True,True,516
4,9189,False,False,541
4,9189,False,True,166
4,9189,True,False,756
4,9189,True,True,376
4,3880,False,False,848
4,3880,False,True,241
4,3880,True,False,696
4,3880,True,True,306
4,8997,False,False,2179
4,8997,False,True,1385
4,8997,True,False,646
4,8997,True,True,269
4,2188,False,False,700
4,2188,False,True,445
4,2188,True,False,1056
4,2188,True,True,703
4,4426,False,False,656
4,4426,False,True,89
4,4426,True,False,1014
4,4426,True,True,626
4,2579,False,False,533
4,2579,False,True,89
4,2579,True,False,798
4,2579,True,True,412
4,7257,False,False,468
4,7257,False,True,66
4,7257,True,False,1110
4,7257,True,True,583
4,2779,False,False,403
4,2779,False,True,27
4,2779,True,False,660
4,2779,True,True,261
4,8202,False,False,460
4,8202,False,True,82
4,8202,True,False,1005
4,8202,True,True,636
4,9707,False,False,812
4,9707,False,True,79
4,9707,True,False,744
4,9707,True,True,292
5,8722,False,False,810
5,8722,False,True,224
5,8722,True,False,745
5,8722,True,True,377
5,4100,False,False,296
5,4100,False,True,38
5,4100,True,False,710
5,4100,True,True,331
5,4196,False,False,461
5,4196,False,True,23
5,4196,True,False,557
5,4196,True,True,201
5,5236,False,False,338
5,5236,False,True,4
5,5236,True,False,679
5,5236,True,True,320
5,6787,False,False,520
5,6787,False,True,162
5,6787,True,False,748
5,6787,True,True,420
5,4954,False,False,1066
5,4954,False,True,153
5,4954,True,False,447
5,4954,True,True,185
5,8491,False,False,481
5,8491,False,True,22
5,8491,True,False,1076
5,8491,True,True,608
5,2150,False,False,870
5,2150,False,True,336
5,2150,True,False,873
5,2150,True,True,477
5,2613,False,False,531
5,2613,False,True,121
5,2613,True,False,823
5,2613,True,True,459
5,1114,False,False,1831
5,1114,False,True,713
5,1114,True,False,897
5,1114,True,True,420
